"Kod";"Nazwa";"pełny;kobiety;wartość liczbowa;2021;[tys. osób]";"pełny;kobiety;wartość liczbowa;2022;[tys. osób]";"pełny;kobiety;wartość liczbowa;2023;[tys. osób]";
0200000;"DOLNOŚLĄSKIE";555;558;559;
0400000;"KUJAWSKO-POMORSKIE";368;380;382;
0600000;"LUBELSKIE";341;348;346;
0800000;"LUBUSKIE";178;179;181;
1000000;"ŁÓDZKIE";453;464;455;
1200000;"MAŁOPOLSKIE";638;622;650;
1400000;"MAZOWIECKIE";1187;1202;1212;
1600000;"OPOLSKIE";172;167;166;
1800000;"PODKARPACKIE";321;331;345;
2000000;"PODLASKIE";213;215;217;
2200000;"POMORSKIE";439;456;453;
2400000;"ŚLĄSKIE";797;793;796;
2600000;"ŚWIĘTOKRZYSKIE";210;213;213;
2800000;"WARMIŃSKO-MAZURSKIE";243;241;246;
3000000;"WIELKOPOLSKIE";681;693;674;
3200000;"ZACHODNIOPOMORSKIE";300;313;311;
