"Kod";"Nazwa";"żłobki;2012;[ob.]";"żłobki;2013;[ob.]";"żłobki;2014;[ob.]";"żłobki;2015;[ob.]";"żłobki;2016;[ob.]";"żłobki;2017;[ob.]";"żłobki;2018;[ob.]";"żłobki;2019;[ob.]";"żłobki;2020;[ob.]";"żłobki;2021;[ob.]";"żłobki;2022;[ob.]";"żłobki;2023;[ob.]";"miejsca w żłobkach;2012;[msc.]";"miejsca w żłobkach;2013;[msc.]";"miejsca w żłobkach;2014;[msc.]";"miejsca w żłobkach;2015;[msc.]";"miejsca w żłobkach;2016;[msc.]";"miejsca w żłobkach;2017;[msc.]";"miejsca w żłobkach;2018;[msc.]";"miejsca w żłobkach;2019;[msc.]";"miejsca w żłobkach;2020;[msc.]";"miejsca w żłobkach;2021;[msc.]";"miejsca w żłobkach;2022;[msc.]";"miejsca w żłobkach;2023;[msc.]";"dzieci przebywające w ciągu roku w żłobkach;2012;[osoba]";"dzieci przebywające w ciągu roku w żłobkach;2013;[osoba]";"dzieci przebywające w ciągu roku w żłobkach;2014;[osoba]";"dzieci przebywające w ciągu roku w żłobkach;2015;[osoba]";"dzieci przebywające w ciągu roku w żłobkach;2016;[osoba]";"dzieci przebywające w ciągu roku w żłobkach;2017;[osoba]";"dzieci przebywające w ciągu roku w żłobkach;2018;[osoba]";"dzieci przebywające w ciągu roku w żłobkach;2019;[osoba]";"dzieci przebywające w ciągu roku w żłobkach;2020;[osoba]";"dzieci przebywające w ciągu roku w żłobkach;2021;[osoba]";"dzieci przebywające w ciągu roku w żłobkach;2022;[osoba]";"dzieci przebywające w ciągu roku w żłobkach;2023;[osoba]";"dzieci w żłobkach stan w dniu 31 grudnia;2012;[osoba]";"dzieci w żłobkach stan w dniu 31 grudnia;2013;[osoba]";"dzieci w żłobkach stan w dniu 31 grudnia;2014;[osoba]";"dzieci w żłobkach stan w dniu 31 grudnia;2015;[osoba]";"dzieci w żłobkach stan w dniu 31 grudnia;2016;[osoba]";"dzieci w żłobkach stan w dniu 31 grudnia;2017;[osoba]";"dzieci w żłobkach stan w dniu 31 grudnia;2018;[osoba]";"dzieci w żłobkach stan w dniu 31 grudnia;2019;[osoba]";"dzieci w żłobkach stan w dniu 31 grudnia;2020;[osoba]";"dzieci w żłobkach stan w dniu 31 grudnia;2021;[osoba]";"dzieci w żłobkach stan w dniu 31 grudnia;2022;[osoba]";"dzieci w żłobkach stan w dniu 31 grudnia;2023;[osoba]";
0200000;"DOLNOŚLĄSKIE";78;127;187;219;243;275;330;378;399;420;417;427;;;;8672;9598;10768;13740;15725;17516;18760;19753;20519;;;;12499;13425;15655;19062;22310;23351;24807;26628;;;;;8147;9207;10401;12841;14547;14685;16199;17134;17408;
0400000;"KUJAWSKO-POMORSKIE";24;33;47;60;68;83;112;133;139;168;182;191;;;;2749;3048;3652;5087;5984;6893;7782;8650;9228;;;;4209;4481;5294;6676;7884;8648;9797;10521;;;;;2538;2876;3467;4401;5208;5403;6376;6678;6702;
0600000;"LUBELSKIE";25;38;44;52;67;78;116;140;163;190;198;200;;;;2413;2778;3221;4639;5471;6562;7810;8159;8373;;;;3335;3702;4640;6194;7978;8714;10005;11087;;;;;2274;2570;3100;4301;5120;5368;6465;7000;6939;
0800000;"LUBUSKIE";22;35;47;47;54;58;77;83;88;100;109;114;;;;2244;2522;2845;3737;3870;4160;4711;5058;5217;;;;3216;3454;4062;4796;5349;5797;6309;6943;;;;;2001;2390;2615;3284;3685;3648;4231;4599;4537;
1000000;"ŁÓDZKIE";49;59;70;74;94;107;147;179;186;215;227;245;;;;3771;4321;4768;6617;7624;8205;8985;9818;10503;;;;7024;7579;8276;9714;12141;11658;12792;13888;;;;;3860;4560;4865;6025;7217;6843;7711;8819;8740;
1200000;"MAŁOPOLSKIE";61;97;145;171;219;265;336;399;433;458;478;513;;;;6412;7979;9559;12789;14909;16456;17736;18589;19986;;;;9134;11062;13713;17355;20013;20585;22006;24616;;;;;5922;7336;8754;10941;12456;12221;13842;15349;15723;
1400000;"MAZOWIECKIE";119;194;306;373;422;476;579;677;681;752;804;790;;;;13258;14275;16151;21375;25729;26989;29739;32991;33725;;;;18810;20178;22683;28831;35200;36845;41389;46866;;;;;12271;13490;15006;18713;22951;23042;26284;29077;29322;
1600000;"OPOLSKIE";34;40;50;57;63;71;88;96;99;110;120;120;;;;2640;2917;3178;4037;4740;4951;5319;6024;6081;;;;3846;4073;4528;5714;6663;6680;7491;8166;;;;;2512;2800;2930;3847;4205;4077;4680;5224;5128;
1800000;"PODKARPACKIE";31;44;67;77;93;112;148;175;191;209;225;232;;;;3424;3876;4632;6133;7297;8013;8726;9323;9618;;;;4912;5582;6598;8609;10412;10831;12253;13245;;;;;3234;3641;4360;5737;6679;6681;7887;8472;8196;
2000000;"PODLASKIE";13;16;32;39;52;58;83;100;109;118;129;138;;;;1873;2354;2534;3610;4387;4761;5385;5608;6052;;;;2719;3253;3688;5156;6306;6585;7537;7844;;;;;1766;2198;2447;3380;4089;3934;4713;4928;5088;
